Id,Title,Score,Text,CreationDate
"6855283","refactor function error - ""is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can't be refactored""","18","refactor function error - ""is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can't be refactored""","2011-07-28 07:13:03"
"6855283","refactor function error - ""is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can't be refactored""","18","Trying to rename a function's name via the refactor->rename button in a categoriy's .h file in XCode 4.1 I'm getting this error: (error and body)

UINavigationController+ZG.h is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can’t be refactored.

Add the file to the build phase of a target in an Xcode 3 project in this workspace, or make a selection in another file.

Not sure what it wants and why it's saying something about xcode 3 when i don't have any xcode 3 projects or anything like that.","2011-07-28 07:13:03"
"6855283","refactor function error - ""is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can't be refactored""","18","<iphone><objective-c><xcode4>","2011-07-28 07:13:03"
"6855283","refactor function error - ""is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can't be refactored""","18","<iphone><xcode><xcode4>","2011-09-12 18:50:00"
"25424074","refactor large AngularJS module config into separate files","15","refactor large AngularJS module config into separate files","2014-08-21 10:31:43"
"25424074","refactor large AngularJS module config into separate files","15","### Problem: Large `config()` ###

The config of my AngularJS app is growing quite large. How would you refactor the following into separate files?

    // app.js
    angular.module('myApp')
        .config(function($urlRouterProvider, $stateProvider, $httpProvider) {
            // Configure routing (uiRouter)
            $urlRouterProvider.when('/site', '/site/welcome');
            $stateProvider.state('main', ...
            ...

            // Configure http interceptors
            $httpProvider.interceptors.push(function () {              
                ...
            });
        });


----------


### Option 1. Multiple `config()`s ###

I know that I can have multiple `config()`s and place them in separate files like this:

    // app.js
    angular.module('myApp');

    // routerConfiguration.js
    angular.module('myApp')
        .config(function($urlRouterProvider, $stateProvider) {
            // Configure routing (uiRouter)
            $urlRouterProvider.when('/site', '/site/welcome');
            $stateProvider.state('main', ...
            ...

    // httpInterceptorConfig.js
    angular.module('myApp')
        .config(function($httpProvider) {
            // Configure http interceptors
            $httpProvider.interceptors.push(function () {              
                ...
            });
        });

What I do not like about this, is that in the original app.js, **there is no way of getting an overview** of what is run at startup. 


----------


### Option 2. Inject something ###

I would prefer to do something like this, because it would be easier to see what is configured, directly in the app.js. However I know that this is not possible, since we cannot inject services into `config()`. 

**Can I use providers to solve this? Is there a better way?**

    // app.js
    angular.module('myApp')
        .config(function(routerConfig, httpInterceptorConfig) {
            routerConfig.setup();
            httpInterceptorConfig.setup();
        });

    // routerConfig.js
    angular.module('myApp')
        .factory('routerConfig', function($urlRouterProvider, $stateProvider) {
            return {
                setup: function() {
                    // Configure routing (uiRouter)
                    $urlRouterProvider.when('/site', '/site/welcome');
                    $stateProvider.state('main', ...
                    ...
                }
            };
        });
    });

    // httpInterceptorConfig.js
    angular.module('myApp')
        .factory('httpInterceptorConfig', function($httpProvider) {
            return {
                setup: function() {
                    // Configure http interceptors
                    $httpProvider.interceptors.push(function () {              
                    ...
                }
            };
        });
    });","2014-08-21 10:31:43"
"25424074","refactor large AngularJS module config into separate files","15","<angularjs>","2014-08-21 10:31:43"
"12434127","refactoring to arc results in ""synthesize of 'weak' property is only allowed in arc or gc mode""","8","refactoring to arc results in ""synthesize of 'weak' property is only allowed in arc or gc mode""","2012-09-15 02:48:52"
"12434127","refactoring to arc results in ""synthesize of 'weak' property is only allowed in arc or gc mode""","8","i am using xcode 4.4.1 for iOS target 5.1
i've started my project using ARC, and in the middle of the project I've added some non-arc thirdparty source to my project.
at this point, i've decided to try refactoring in xcode and an error occurs.
it comes from one of my original source code. 

i have a property of (nonatomic, weak) and i've synthesized it ==> synthesize of 'weak' property is only allowed in ARC or GC mode. 

I am puzzeled - i am using arc and it complains that it is only allowed in arc??

At the moment, i've refactored the thirdparty app from other project and copied it for my project to work, but the above is a question I'd still like to understand why .
Thanks! 
(by the way, when i do convert to arc, it says that the target currently uses ARC)","2012-09-15 02:48:52"
"12434127","refactoring to arc results in ""synthesize of 'weak' property is only allowed in arc or gc mode""","8","<iphone><ios4><ios5>","2012-09-15 02:48:52"
